,class,parameter,data_type,default_value,url
8,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,max_depth,integer,3,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
9,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,min_impurity_decrease,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
10,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,min_impurity_split,float,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
11,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,init,estimator or ‘zero’,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
12,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
13,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,max_features,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
14,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,alpha,float (default=0.9),0.9,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
15,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
16,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,max_leaf_nodes,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
17,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
18,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,presort,bool or ‘auto’,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
19,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,validation_fraction,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
20,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,n_iter_no_change,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
21,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
0,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,n_estimators,integer,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
1,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,criterion,string,’mse’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
2,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,max_depth,integer or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
3,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,min_samples_split,int,2,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
4,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,min_samples_leaf,int,1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
5,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,min_weight_fraction_leaf,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
6,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,max_features,int,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
7,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,max_leaf_nodes,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
8,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,min_impurity_decrease,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
9,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,min_impurity_split,float,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
10,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,bootstrap,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
11,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,oob_score,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
12,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
13,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
14,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
15,3.2.4.3.2. sklearn.ensemble.RandomForestRegressor,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html
0,sklearn.ensemble.VotingRegressor,weights,array-like,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.VotingRegressor.html
1,sklearn.ensemble.VotingRegressor,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.VotingRegressor.html
0,sklearn.ensemble.HistGradientBoostingRegressor,loss,{‘least_squares’},’least_squares’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
0,sklearn.ensemble.HistGradientBoostingRegressor,loss,{‘least_squares’},’least_squares’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
1,sklearn.ensemble.HistGradientBoostingRegressor,learning_rate,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
1,sklearn.ensemble.HistGradientBoostingRegressor,learning_rate,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
2,sklearn.ensemble.HistGradientBoostingRegressor,max_iter,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
2,sklearn.ensemble.HistGradientBoostingRegressor,max_iter,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
3,sklearn.ensemble.HistGradientBoostingRegressor,max_leaf_nodes,int or None,31,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
3,sklearn.ensemble.HistGradientBoostingRegressor,max_leaf_nodes,int or None,31,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
4,sklearn.ensemble.HistGradientBoostingRegressor,max_depth,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
4,sklearn.ensemble.HistGradientBoostingRegressor,max_depth,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
5,sklearn.ensemble.HistGradientBoostingRegressor,min_samples_leaf,int,20,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
5,sklearn.ensemble.HistGradientBoostingRegressor,min_samples_leaf,int,20,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
6,sklearn.ensemble.HistGradientBoostingRegressor,l2_regularization,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
6,sklearn.ensemble.HistGradientBoostingRegressor,l2_regularization,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
7,sklearn.ensemble.HistGradientBoostingRegressor,max_bins,int,256,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
7,sklearn.ensemble.HistGradientBoostingRegressor,max_bins,int,256,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
8,sklearn.ensemble.HistGradientBoostingRegressor,scoring,str or callable or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
8,sklearn.ensemble.HistGradientBoostingRegressor,scoring,str or callable or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
9,sklearn.ensemble.HistGradientBoostingRegressor,validation_fraction,int or float or None,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
9,sklearn.ensemble.HistGradientBoostingRegressor,validation_fraction,int or float or None,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
